,Description,scores_overall
Deakin University,"Deakin University is a public university in Victoria, Australia. Founded in 1974, the university was named after Alfred Deakin, the second Prime Minister of Australia. Its main campuses are in Melbourne's Burwood suburb, Geelong Waurn Ponds, Geelong Waterfront and Warrnambool, as well as the online Cloud Campus. Deakin also has learning centres in Dandenong and Werribee, all in the state of Victoria. As of 2021, Deakin University is ranked among the top 1% of universities in the world, is ranked one of the top 26 young universities in the world, is the 3rd highest ranked university in the world for Sport Science, is one of the top 29 universities in the world for Nursing, is one of the top 32 universities in the world for Education, and is among fewer than 5% of Business Schools worldwide with Association to Advance Collegiate Schools of Business accreditation. Deakin's research activities are growing. 100% of Deakin research was rated ator above world standard in the 2018 Excellence in Research Australia (ERA) ratings. Its combined research funding increased from A$4.5 million in 1997 to A$47.2 million in 2015. In 2020, the university's research income was $87.6 million, with 247 Higher degree by Research completions. Deakin University consistently ranks highly in undergraduate student satisfaction; in the 2019 Student Experience Survey, Deakin had the fourth highest student satisfaction rating nationally, the highest student satisfaction rating out of all Australian public universities and the highest student satisfaction rating out of all Victorian universities. Deakin has had the highest undergraduate student satisfaction ratings out of all Victorian universities every year since 2010 and has consistently placed in the top two for highest postgraduate student satisfaction out of all Victorian universities every year since 2010.",54.45
Delft University of Technology,"Delft University of Technology (Dutch: Technische Universiteit Delft), also known as TU Delft, is the oldest and largest Dutch public technical university, located in Delft, Netherlands. As of 2022 it is ranked by QS World University Rankings among the top 10 engineering and technology universities in the world. In the fields of architecture and civil engineering, it was ranked 2nd in the world, after MIT (Massachusetts Institute of Technology). With eight faculties and numerous research institutes, it has more than 26,000 students (undergraduate and postgraduate) and 6,000 employees (teaching, research, support and management staff). The university was established on 8 January 1842 by William II of the Netherlands as a Royal Academy, with the primary purpose of training civil servants for work in the Dutch East Indies. The school expanded its research and education curriculum over time, becoming a polytechnic school in 1864 and an institute of technology (making it a full-fledged university) in 1905. It changed its name to Delft University of Technology in 1986. Dutch Nobel laureates Jacobus Henricus van 't Hoff, Heike Kamerlingh Onnes, and Simon van der Meer have been associated with TU Delft. TU Delft is a member of several university federations, including the IDEA League, CESAER, UNITECH International, (Leiden University, Delft University of Technology and Erasmus University), and 4TU.",76.3
Arak University of Medical Sciences,"Arak University of Medical Sciences is an Iranian medical school located in Arak, Iran. This university is the main health care provider in Markazi province and one of the biggest universities central of Iran. The university was established by efforts of the director of regional organizations for Health in Markazi province and Majlis representative of Arak and authorities of Ministry of Health, Treatment and Medical Education. After getting the required permissions for the founding of Arak School of Medicine in 1987, and in February 1988 School of Medical Sciences commenced its activities with gathering the school of medicine and college of nursing and midwifery together with accepting 60 students in the medical field and was separated and did its activity independently in 1988. In 1990, The University was converted to ""University of Medical Sciences"". In 1994 with the inclusion of regional organizations for Health in the University of Medical Sciences, this university was named the University of Medical Sciences and Health Services, Markazi Province, and it took responsibility for offering health services in province.",34.8
Huaqiao University,"Huaqiao University (Chinese: 华侨大学; pinyin: Huáqiáo Dàxué; Pe̍h-ōe-jī: Huâ-kiâu-tāi-ha̍k; lit. 'Overseas Chinese University'; Acronym: HQU) is a national university located in Xiamen and Quanzhou, Fujian province, China. Huaqiao University was founded in 1960, with support from the late Chinese premier and historical figure Zhou Enlai, for students of overseas Chinese backgrounds (Hong Kong, Taiwan, Macau, Singapore) to pursue tertiary education in their ancestral homelands. The university has two campuses in the cities of Xiamen and Quanzhou, known for their large numbers of overseas Chinese students who have roots in these cities.",30.450000000000003
Huazhong University of Science and Technology,"The Huazhong University of Science and Technology (HUST; simplified Chinese: 华中科技大学; traditional Chinese: 華中科技大學; pinyin: Huázhōng Kējì Dàxué) is a public research university located in Guanshan Subdistrict, Hongshan District, Wuhan, Hubei province, China. As a national key university directly affiliated to the Ministry of Education of China, HUST is a Project 985 and Class A Double First Class University. HUST manages Wuhan National Laboratories for Opto-electronics (WNLO), which is one of the five national laboratories in China. HUST is also one of four Chinese universities eligible to run the national laboratory and the national major science and technology infrastructure. Huazhong University of Science and Technology was one of two Chinese universities awarded with the University Leadership Award by the Society of Manufacturing Engineers (SME), and elected as ""China's Top Ten Research Institutions"" by the academic journal Nature, called ""The epitome of the higher education development of People's Republic of China"". Huazhong University of Science and Technology (HUST) ranks 96th globally, 14th in Asia and 8th in mainland China in the 2022 Academic Ranking of World Universities. It consistently features in the global top 200 research universities according to some of the most influential university rankings in the world such as Shanghai Ranking's Academic Ranking of World Universities, the Times Higher Education World University Rankings, and the U.S. News & World Report Best Global University Ranking.",61.7
Humboldt University of Berlin,"Humboldt University of Berlin (German: Humboldt-Universität zu Berlin, abbreviated HU Berlin) is a German public research university in the central borough of Mitte in Berlin. It was established by Frederick William III on the initiative of Wilhelm von Humboldt, Johann Gottlieb Fichte and Friedrich Ernst Daniel Schleiermacher as the University of Berlin (Universität zu Berlin) in 1809, and opened in 1810, making it the oldest of Berlin's four universities. From 1828 until its closure in 1945, it was named Friedrich Wilhelm University (German: Friedrich-Wilhelms-Universität). During the Cold War, the university found itself in East Berlin and was de facto split in two when the Free University of Berlin opened in West Berlin. The university received its current name in honour of Alexander and Wilhelm von Humboldt in 1949. The university is divided into nine faculties including its medical school shared with the Free University of Berlin. The university has a student enrollment of around 32,000 students, and offers degree programs in some 189 disciplines from undergraduate to post-doctorate level. Its main campus is located on the Unter den Linden boulevard in central Berlin. The university is known worldwide for pioneering the Humboldtian model of higher education, which has strongly influenced other European and Western universities. It was regarded as the world's preeminent university for the natural sciences during the 19th and early 20th century, as the university is linked to major breakthroughs in physics and other sciences by its professors, such as Albert Einstein. Past and present faculty and notable alumni include 57 Nobel Prize laureates (the most of any German university by a substantial margin), as well as eminent philosophers, sociologists, artists, lawyers, politicians, mathematicians, scientists, and heads of state; among them are: Albert Einstein, Hermann von Helmholtz, Emil du Bois-Reymond, Robert Koch, Theodor Mommsen, Karl Marx, Friedrich Engels, Otto von Bismarck, W. E. B. Du Bois, Angela Davis, Arthur Schopenhauer, Georg Wilhelm Friedrich Hegel, Walter Benjamin, Max Weber, Georg Simmel, Karl Liebknecht, Ernst Cassirer, Heinrich Heine, Eduard Fraenkel, Max Planck and the Brothers Grimm. As one of Germany's most prestigious institutions of higher education, Humboldt University of Berlin has been conferred the title of ""University of Excellence"" under the German Universities Excellence Initiative.",68.2
Hungarian University of Agriculture and Life Sciences,"The Hungarian University of Agriculture and Life Sciences is a university of technology in Hungary. Its headquarters and main campus are located about 30 kilometres from the capital, Budapest, in the Central Hungarian town of Gödöllő. Other campuses are based in Budapest, Békéscsaba, Gyula, Jászberény, and Szarvas. The University consists of eight different faculties for study and research, and enrolls approximately 15,000 students. The university was established in 2000 from the merge of several previously independent institutions - the oldest of these being the former University of Veterinary Medicine Budapest, founded in 1787. (Note: In 2016, the University of Veterinary Medicine Budapest regained its independence thus it is no longer part of the SZIU.) The Szent István University is named after Hungarian King Stephen I (the Saint). The current rector of the university is Dr. János Tőzsér.",25.5
Jordan University of Science and Technology,"The Jordan University of Science and Technology (Arabic: جامعة العلوم والتكنولوجيا الأردنية Jami'at Al-Ulum wa Al-Tiknolojia Al-Urdunia), often abbreviated JUST, is a state-supported university located on the outskirts of Irbid, at Ar Ramtha in northern Jordan. The University comprises twelve faculties that offer a spectrum of undergraduate and higher study programs, in addition to King Abdullah University Hospital which is a tertiary teaching hospital affiliated with JUST and located within its campus.",34.8
Lithuanian University of Health Sciences,"Lithuanian University of Health Sciences (Lithuanian: Lietuvos sveikatos mokslų universitetas, LSMU) is a medical school in Kaunas, Lithuania. The present-day Lithuanian University of Health Sciences is a consolidation of two institutions of higher education, Kaunas University of Medicine and the Lithuanian Veterinary Academy. It uses the Hospital of Lithuanian University of Health Sciences Kaunas Clinics and the Kaunas Red Cross Hospital as teaching hospitals.",34.8
Payame Noor University,"Payame Noor University (PNU; Persian: Dāneŝgāhe Payāme Nur) is a large public university in Iran, with its headquarters in Tehran. Established in 1988, is a legal body under the Ministry of Science, Research and Technology. Payame Noor means ""the message of light"" in Persian. PNU was established in 1988 in the Iran, after having integrated the University of Abu Rayhan al-Biruni and Iran Free University. PNU took its first intake in five-degree programs at 28 study centres. Payame Noor University is considered to be one of the most prestigious universities of Iran taking its rightful place among the top educational institutions of the country. Despite being one of the youngest universities in Iran, Payame Noor University ranks high in international ratings. The university has held the record of publishing articles per student in Iran since 2013.",16.2
Peking University,"Peking University (PKU; Chinese: 北京大学; lit. 'University of Beijing') is a public research university in Beijing, China. The university is funded by the Ministry of Education. Peking University was established as the Imperial University of Peking in 1898 when it received its royal charter by the Guangxu Emperor. A successor of the older Guozijian Imperial College, the university's romanized name 'Peking' retains the older transliteration of 'Beijing' that has been superseded in most other contexts. Perennially ranked as one of the top academic institutions in China and the world; as of 2021 Peking University was ranked 16th globally and 1st in the Asia-Pacific & emerging countries by Times Higher Education, while as of 2022 it was ranked 12th globally and 1st in Asia by QS University Rankings. Throughout its history, Peking University has had an important role ""at the center of major intellectual movements"" in China. Abolished of its status as a royal institution after the fall of the Qing dynasty and the Xinhai Revolution; from the early 1920s, the university became a center for China's emerging, progressive, and republican movements. Faculty and students held important roles in originating the New Culture Movement, the May Fourth Movement protests, and other significant cultural and sociopolitical events, to the extent that the university's history has been closely tied to that of modern China. Peking University has educated and hosted many prominent modern Chinese figures, including Mao Zedong, Lu Xun, Gu Hongming, Hu Shih, Mao Dun, Li Dazhao, Chen Duxiu, and current Premier Li Keqiang. Peking University is a member of the C9 League, Double First Class University Plan, former Project 985 and former Project 211. The university library contains over 8 million volumes. The university also operates the PKU Hall, a professional performing arts center, and the Arthur M. Sackler Museum of Arts and Archaeology. The university is also renowned for its campus grounds and the beauty of its traditional Chinese architecture. Additionally, it hosts one of the only undergraduate liberal arts colleges in Asia, and is a Class A institution under the Chinese Double First Class University program. Peking University's staff include 76 members of the Chinese Academy of Sciences, 19 members of the Chinese Academy of Engineering and 25 members of the World Academy of Sciences.",91.8
